0,70.357,29.01,21.543,60.061,49.837,0.0,171.552,0.0,155.031,1,0.0,0,0.0,0,1,3,4,0.0,52.115,16.804,9.397,0,0,1
3333,14.413,55.112,56.561,10.524,41.399,0.0,202.792,0.0,258.173,1,0.0,1,0.0,0,1,1,4,0.0,48.69,-12.248,36.756,0,1,0
6666,47.523,3.642,70.97,43.175,95.062,0.0,275.681,0.0,157.521,1,0.0,0,0.0,1,1,3,4,0.0,27.976,37.15,8.503,1,0,0
9999,23.637,58.856,69.414,12.681,61.437,0.0,28.016,0.0,362.502,0,0.0,0,0.0,0,0,4,6,0.0,32.905,33.053,-2.811,0,0,0
13332,33.5,0.769,76.695,68.216,22.27,0.0,277.193,0.0,242.426,0,0.0,0,0.0,0,0,5,2,0.0,50.084,0.867,7.598,1,1,0
16665,49.275,23.171,24.059,33.057,92.401,0.0,258.495,0.0,748.433,1,0.0,0,0.0,0,0,5,5,0.0,72.807,26.317,10.346,0,1,0
19998,58.482,38.496,40.625,49.928,43.998,0.0,108.118,0.0,499.034,1,0.0,0,0.0,0,1,3,5,0.0,69.798,33.306,14.371,1,1,0
23331,79.364,31.395,14.6,65.011,9.452,0.0,177.473,0.0,687.41,1,0.0,0,0.0,1,1,3,0,0.0,77.876,8.96,31.047,1,0,0
26664,8.705,53.276,56.878,20.618,58.016,0.0,25.419,0.0,117.749,1,0.0,0,0.0,0,1,1,6,0.0,71.341,-5.426,13.941,1,1,0
29997,38.224,12.472,34.615,50.693,59.889,0.0,131.329,0.0,320.7,0,0.0,1,0.0,1,0,3,0,0.0,29.218,-8.314,-1.825,1,1,0
33330,7.746,24.727,70.456,72.299,54.092,0.0,182.389,0.0,347.474,1,0.0,1,0.0,1,1,0,4,0.0,77.17,36.96,14.726,1,1,0
36663,36.175,10.439,37.658,37.467,58.25,0.0,241.35,0.0,321.262,0,0.0,1,0.0,0,1,3,5,0.0,67.694,26.0,-4.794,0,1,0
39996,39.457,53.099,38.459,60.568,50.88,0.0,96.088,0.0,380.088,0,0.0,1,0.0,0,0,2,1,0.0,55.859,10.87,-1.194,0,1,0
43329,72.906,3.5,64.957,24.41,42.922,0.0,264.439,0.0,378.148,1,0.0,0,0.0,0,0,5,5,0.0,61.842,9.415,38.974,0,1,0
46662,14.196,29.207,43.401,74.633,8.375,0.0,224.329,0.0,304.614,1,0.0,1,0.0,0,1,0,0,0.0,66.476,4.295,18.615,0,0,0
49995,79.468,3.784,16.428,49.185,2.536,0.0,173.139,0.0,96.643,1,0.0,0,0.0,1,0,4,2,0.0,67.508,-3.414,-2.24,1,0,0
53328,72.785,49.717,11.338,39.616,94.321,0.0,290.406,0.0,39.875,0,0.0,0,0.0,1,1,1,6,0.0,70.656,0.954,15.046,0,1,0
56661,64.595,35.007,56.379,73.661,7.531,0.0,262.715,0.0,146.648,1,0.0,0,0.0,0,0,4,5,0.0,56.808,32.94,-7.606,1,1,0
59994,50.551,50.005,75.969,36.957,32.232,0.0,52.542,0.0,685.536,1,0.0,1,0.0,0,0,3,6,0.0,72.328,7.71,13.029,0,1,0
63327,73.686,6.217,16.726,55.819,28.686,0.0,78.0,0.0,208.253,1,0.0,1,0.0,0,0,1,2,0.0,37.261,-13.706,-10.347,1,0,0
66660,42.188,55.111,60.994,36.864,77.653,0.0,55.743,0.0,799.949,1,0.0,0,0.0,1,0,0,5,0.0,23.988,-3.828,-3.296,1,0,0
69993,33.278,36.224,24.772,23.613,65.837,0.0,220.972,0.0,622.392,0,0.0,0,0.0,0,1,0,0,0.0,74.034,26.582,-8.017,1,1,0
73326,69.114,37.94,57.351,41.46,66.02,0.0,105.314,0.0,208.822,0,0.0,0,0.0,1,0,3,5,0.0,48.786,4.309,-13.735,1,0,0
76659,41.647,14.342,12.247,14.405,55.593,0.0,152.858,0.0,136.749,0,0.0,0,0.0,1,1,3,1,0.0,36.217,-6.265,39.107,1,1,0
79992,20.891,31.603,32.297,18.696,53.772,0.0,176.222,0.0,149.705,0,0.0,0,0.0,1,1,1,1,0.0,27.034,-9.429,12.381,1,1,0
83325,63.274,24.99,27.848,35.666,34.598,0.0,238.718,0.0,489.684,1,0.0,1,0.0,1,1,1,4,0.0,29.778,10.593,22.22,0,1,0
86658,63.596,27.977,54.44,11.683,38.3,0.0,30.585,0.0,287.102,0,0.0,1,0.0,0,1,3,3,0.0,72.103,33.824,31.558,0,0,0
89991,74.914,11.877,72.143,30.674,68.775,0.0,60.808,0.0,554.226,1,0.0,0,0.0,1,0,4,3,0.0,30.505,9.837,39.691,1,1,0
93324,22.291,26.327,73.919,39.278,86.04,0.0,136.074,0.0,572.374,0,0.0,1,0.0,0,1,1,2,0.0,21.676,-3.425,36.379,1,0,0
96657,18.506,36.957,54.336,30.702,30.322,0.0,207.706,0.0,728.036,0,0.0,0,0.0,0,0,5,0,0.0,51.868,-4.465,-5.635,0,0,0
99990,49.935,23.545,63.973,53.579,92.053,0.0,255.427,0.0,583.848,1,0.0,0,0.0,0,0,5,3,0.0,38.406,-10.811,38.82,1,1,0
103323,34.707,45.038,71.165,44.21,43.107,0.0,154.876,0.0,320.588,0,0.0,0,0.0,1,1,4,1,0.0,24.498,13.706,14.498,1,1,0
106656,74.524,59.002,52.626,71.124,89.635,0.0,21.212,0.0,376.932,1,0.0,0,0.0,0,1,4,4,0.0,42.997,-3.319,20.774,0,1,0
109989,23.997,35.848,55.839,60.727,71.338,0.0,51.611,0.0,660.389,1,0.0,0,0.0,0,1,2,6,0.0,61.712,-7.255,-7.684,0,0,0
