0,3,-2,-3,-4,15,-30,0,-8,36,20,-33,-60,65,-42,90,16,68,54,-95,100
0,0,10,21,-20,-20,-6,42,56,45,-10,33,96,117,-28,120,112,17,90,95,-60
0,2,-4,-3,28,-10,42,49,24,36,-50,-22,-48,13,-14,45,16,17,-72,-57,160
0,4,10,12,-12,0,12,14,-40,18,90,55,60,26,0,30,128,85,90,76,-40
0,6,-4,27,-4,-5,18,-7,72,0,70,-11,60,39,-56,135,-64,119,90,-19,100
0,8,12,24,16,-25,-12,7,32,-45,10,55,0,-65,-42,45,-16,68,108,-76,100
0,9,16,0,20,15,54,-35,0,0,-40,77,0,104,-70,105,144,-68,0,114,60
0,-5,18,-3,-16,25,30,0,-40,-45,90,33,24,65,84,-45,128,51,54,57,-20
0,-3,18,-6,24,-20,48,-7,-32,63,90,-55,-12,91,28,90,128,136,108,76,-60
0,2,-2,18,4,10,-18,-7,-40,-9,90,-22,12,39,28,-75,64,-85,144,0,0
0,3,-4,24,24,-25,24,14,40,-18,50,-22,0,-52,14,75,80,85,54,171,-80
0,0,8,15,-8,15,48,42,32,45,10,-11,-60,104,0,60,48,-68,36,19,100
0,1,-10,24,36,-10,-18,14,24,81,20,-11,48,104,14,-30,80,17,54,114,-60
0,4,18,9,16,-5,0,21,-24,-45,90,11,24,-13,-42,90,-16,17,54,171,-20
0,-5,-10,9,-16,30,-12,63,64,-27,50,88,48,-52,-28,75,80,-17,-72,-76,-20
0,0,-10,-3,0,10,42,-7,40,0,0,66,-48,65,-14,135,144,51,90,171,180
0,9,14,-6,16,15,24,56,32,0,-30,44,-36,13,0,75,96,102,-18,95,180
0,8,0,6,4,25,6,7,8,72,60,-33,-48,13,42,0,112,-17,144,0,60
0,9,18,-3,36,20,36,49,72,-27,0,0,84,-52,56,45,-48,0,108,38,-40
0,-5,-4,18,-4,-15,24,7,56,0,-30,-22,-24,26,56,-30,-32,0,-36,38,0
0,7,-4,-6,4,5,18,-14,-16,18,60,-11,60,52,70,-15,-80,85,0,95,160
0,1,-4,0,20,15,0,-14,56,54,40,-33,24,-39,126,30,-80,17,-90,114,-20
0,1,16,-12,4,35,-6,-35,8,27,70,-44,-60,-39,14,-60,48,-68,108,152,100
0,4,16,3,28,40,42,7,24,9,50,11,60,-26,-56,120,0,102,-72,38,140
0,3,-8,3,36,45,48,-14,0,-27,90,-55,96,13,28,135,-32,153,36,0,120
0,8,-8,3,8,45,-30,-14,-24,-45,-20,77,12,52,42,30,96,119,-36,95,-100
0,5,-10,3,-4,10,-6,-28,-32,-27,40,55,-36,-65,98,135,48,102,-36,19,-60
0,2,8,15,28,20,12,28,32,72,-40,77,0,65,-56,105,16,51,18,-19,80
0,5,-2,0,-12,10,-12,35,0,45,0,-44,48,39,112,-75,32,17,144,19,20
0,3,2,-9,-12,-20,36,-14,48,-18,40,-44,-60,-13,-56,-15,16,153,-72,-76,60
0,3,16,27,8,-10,-12,-35,72,36,-50,88,-36,26,56,-75,112,119,108,57,20
0,2,14,-15,24,45,30,63,-8,54,40,-22,-24,52,-42,15,16,102,126,-95,80
0,9,-2,0,-8,25,42,35,0,72,-40,0,24,-52,0,90,-48,51,90,38,0
0,4,-10,-3,32,-5,48,0,56,27,50,-22,-36,-52,56,-75,112,-68,18,152,40
0,3,6,-12,8,45,42,-35,64,-27,40,66,48,78,-14,-60,48,85,54,-95,60
0,-2,-4,6,32,35,12,-28,48,45,40,-44,36,104,70,60,48,119,72,114,-100
0,-5,2,15,8,10,-24,14,-16,18,10,-22,0,-52,126,75,16,17,-72,0,180
